Component,Category,Unit_Cost,Unit,Installation_Cost_Per_Unit,Lifespan_Years,Efficiency_Percent,Notes,Data_Source,Last_Updated
Solar PV Module (Tier1 Mono),Generation,0.45,$/W,0.2,25,21,"Derived from total system cost $1,551/kW AC, includes modules, racking, labor","NREL Annual Technology Baseline 2024 v3 Workbook, Utility PV moderate scenario",2025-12-01
Solar PV Module (Tier1 Bifacial),Generation,0.48,$/W,0.21,25,22,"Bifacial modules, 22-23% efficiency, 10-20% yield gain","NREL ATB 2024, adjusted for bifacial technology",2025-12-01
Solar Inverter (String),Generation,0.15,$/W,0.02,15,98.5,"String inverters, 98-99% efficiency, <100kW systems","NREL ATB 2024, ~10% of total system cost",2025-12-01
Solar Inverter (Central),Generation,0.12,$/W,0.015,15,98.5,"Central inverters, >500kW systems, 98.5-99% efficiency","NREL ATB 2024, large system allocation",2025-12-01
Battery Cell (LFP),Storage,291,$/kWh,24,15,95,"LFP from 4-hour system ($1,938/kW), 15-20yr life, 95-98% roundtrip efficiency","NREL Annual Technology Baseline 2024 v3, Utility Battery 4Hr moderate",2025-12-01
Battery Cell (NMC),Storage,310,$/kWh,24,15,95,"NMC chemistry, higher energy density, 10-15yr life","NREL ATB 2024, adjusted for NMC chemistry",2025-12-01
Battery Inverter,Storage,484,$/kW,15,15,97,"Bidirectional inverter, 4-hour duration, 97-98% efficiency","NREL ATB 2024, bidirectional inverter allocation",2025-12-01
Battery BMS,Storage,49,$/kWh,5,15,99,"Battery Management System, thermal management included","NREL ATB 2024, BMS system allocation",2025-12-01
Diesel Generator (Standby),Generation,380,$/kW,95,20,35,"Diesel genset, standby rated, 30-35% efficiency, Tier 4",Generator manufacturer pricing Q4 2024,2025-12-01
Diesel Generator (Prime),Generation,450,$/kW,110,20,35,"Diesel genset, prime rated, 35-40% efficiency",Generator manufacturer pricing Q4 2024,2025-12-01
Natural Generator (Gas),Generation,580,$/kW,145,20,38,"Natural gas genset, standby rated, 32-37% efficiency",Generator manufacturer pricing Q4 2024,2025-12-01
Natural Generator (Gas),Generation,680,$/kW,170,20,38,"Natural gas genset, prime rated, 38-42% efficiency",Generator manufacturer pricing Q4 2024,2025-12-01
Transformer Padmount,BOS,28,$/kVA,9,30,99,"Pad-mount transformer, oil-filled, 30yr life","RS Means 2024, Eaton/ABB pricing",2025-12-01
Switchgear 480V,BOS,14500,$/unit,2800,30,99,"Main switchgear, 480V, 2000-4000A, circuit breaker panel",Schneider/Eaton 2024 distributor pricing,2025-12-01
Ats Automatic Transfer,BOS,285,$/A,45,25,99,"Automatic transfer switch, 25yr life, <100ms transfer","ASCO, Cummins ATS pricing 2024",2025-12-01
Protection Relay,BOS,2400,$/unit,480,25,99,"Digital multifunction relay, SEL-351 equivalent","SEL, Schweitzer pricing 2024",2025-12-01
Metering Revenue,BOS,2850,$/unit,475,25,99,"Revenue-grade metering, ANSI C12.20 compliant",Utility-grade metering equipment 2024,2025-12-01
Cable 600V,BOS,4.5,$/ft,2.75,25,99,"THWN-2, 600V rated, copper conductor","Southwire, General Cable 2024",2025-12-01
Conduit Pvc,BOS,1.85,$/ft,1.9,25,99,"PVC conduit, Schedule 40","Carlon, Allied pricing 2024",2025-12-01
Racking Ground,BOS,0.09,$/W,0.045,25,99,"Ground-mount racking, fixed tilt, aluminum","GameChange, Terrasmart 2024",2025-12-01
Racking Roof,BOS,0.075,$/W,0.038,25,99,"Rooftop racking, ballasted or attached","IronRidge, Unirac 2024",2025-12-01
